,Titres,Auteur(s),Liste,recensé,Notes
1026,Les Soufis (1964),Idries Shah,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1038,Les cent mille chants,Milarepa,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1055,Les nouvelles dimensions de la conscience,Stanislav Grof,"etats_de_conscience, un_chemin_spirituel",2,
1061,Les symboles fondamentaux de l'art bouddhiste,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, le_traditionalisme",2,
1081,Logique et transcendance,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
1088,Lust For Life,Irving Stone,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1098,Mani et la tradition manichéenne (1974),François Decret,"developpement_personnel, la_gnose",2,
1113,Melkitsedeq ou la tradition primordiale (1983),Jean Tourniac,"097_tradition_primordiale, le_traditionalisme",2,
1125,Moïse dans la tradition soufie,Faouzi Skali,"097_tradition_primordiale, developpement_personnel",2,
1158,Notre vie avec Gurdjieff,"O.DE Hartmann, T.DE Hartmann","developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1192,Perspectives spirituelles et faits humains,Frithjof Schuon,"097_tradition_primordiale, le_traditionalisme",2,
1201,Philosophie iranienne et philosophie comparée,Henry Corbin,"097_tradition_primordiale, developpement_personnel",2,
1218,Pour une psychologie du futur : le potentiel de guérison des états modifiés de conscience,Stanislav Grof,"etats_de_conscience, un_chemin_spirituel",2,
1251,Psychologie transpersonnelle,Stanislav Grof,"etats_de_conscience, un_chemin_spirituel",2,
1252,Psychosynthese,R. Assagioli,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1268,Regards sur les mondes anciens,Frithjof Schuon,"097_tradition_primordiale, sophia_perennis",2,
1269,Religions australiennes,Mircea Eliade,"097_tradition_primordiale, la_gnose",2,
1314,Secret des secrets,Abd al-Qâdîr Al-Jîlânî,"developpement_personnel, la_gnose",2,
1317,Sentiers de gnose,Frithjof Schuon,"097_tradition_primordiale, la_gnose",2,
1327,"Sons esseniens, la guerison par la voix",Anne Givaudan,"etats_de_conscience, la_gnose",2,
1346,Symboles,Titus Burckhardt,"097_tradition_primordiale, le_traditionalisme",2,
1349,Synthèse De Doctrine De La Race (1941),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,
1353,Tantra,,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1360,Tertium Organum (1912),Petr Demianovitch Ouspensky,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,
1402,Un saint soufi du XXe siècle,"Martin Lings, Ahmad Al-Alawi","097_tradition_primordiale, developpement_personnel",2,
1428,Voie soufie,Faouzi Skali,"097_tradition_primordiale, developpement_personnel",2,
1461,Écrits pour Regnabit (1999),René Guénon,"097_tradition_primordiale, le_traditionalisme",2,
690,La conjuration antichrétienne,Henri Delassus,la_gnose,1,9.6
1016,Les Pères apostoliques,France Quéré,resonnances_mystiques,1,9.5
804,Le Jardin de Babylone (1969),Bernard Charbonneau,resonnances_mystiques,1,9.4
385,Ka (1996),Roberto Calasso,resonnances_mystiques,1,9.2
453,L'Interprète des désirs,Ibn Arabi,developpement_personnel,1,9.2
740,La voie de l'amour,Osho,developpement_personnel,1,9.2
752,Le Bestiaire du Christ (2006),Louis Charbonneau-Lassay,sophia_perennis,1,9.2
771,Le Combat spirituel,Lorenzo Scupoli,resonnances_mystiques,1,9.2
797,Le Grand Jeu,"Roger Gilbert-Lecomte, René Daumal",la_bibliotheque_ideale_4_selon_pacome_thiellement,1,9.2
1425,Vies parallèles (120),Plutarque,resonnances_mystiques,1,9.2
1414,Une théorie de tout (2000),Ken Wilber,etats_de_conscience,1,9.1
789,Le Déclin de l'Occident (1922),Oswald Spengler,resonnances_mystiques,1,9
855,Le Pavillon des sept princesses,Nezami,developpement_personnel,1,9
63,Avadhûta Gîtâ,Dattâtreya,resonnances_mystiques,1,8.9
131,Conversations avec Dieu - 3 (1998),Neale Donald Walsch,voir,1,8.9
141,Cosmos (1980),Carl Sagan,resonnances_mystiques,1,8.9
348,Il était une fois nos ancêtres,Richard Dawkins,resonnances_mystiques,1,8.9
592,La Hiérarchie céleste,Pseudo-Denys l'Aréopagite,sophia_perennis,1,8.9
1372,Thérapie existentielle (1980),Irvin Yalom,un_chemin_spirituel,1,8.9
1463,Écrits stupéfiants (2019),Cécile Guilbert,etats_de_conscience,1,8.9
1,108 Upanishads,,developpement_personnel,1,8.8
244,Ennéades II (301),Plotin,sophia_perennis,1,8.8
495,L'immortel banni sur terre buvant seul sous la lune,Li Po,resonnances_mystiques,1,8.8
579,La Flûte de l'Infini,Kabir,developpement_personnel,1,8.8
668,La Symphonie des nombres premiers (2003),Marcus du Sautoy,resonnances_mystiques,1,8.8
783,Le Destin de l'univers (2006),Jean-Pierre Luminet,resonnances_mystiques,1,8.8
1393,Traités et sermons,Maître Eckhart,la_gnose,1,8.8
218,Diwan,Mansūr al-Hallāj,developpement_personnel,1,8.7
546,La Cité à travers l'histoire,Lewis Mumford,resonnances_mystiques,1,8.7
616,La Nuit obscure (1578),Jean de la Croix,resonnances_mystiques,1,8.7
670,La Terre avant les dinosaures,Jean-Sébastien Steyer,resonnances_mystiques,1,8.7
764,Le Chant de l'ardent désir,Ibn Arabi,developpement_personnel,1,8.7
992,Les Fioretti de saint François,François D'assise,resonnances_mystiques,1,8.7
1021,Les Sept cités de l'amour,Farīd al-Dīn Aṭṭār,developpement_personnel,1,8.7
1024,Les Sermons,Maître Eckhart,developpement_personnel,1,8.7
1079,Livre des morts des anciens Egyptiens,Grégoire Kolpaktchy,resonnances_mystiques,1,8.7
1287,Riyad es-Salihine,Muhyiddine An-Nawawi,developpement_personnel,1,8.7
1459,Écrits mystiques des Béguines,Hadewijch d'Anvers,developpement_personnel,1,8.7
1484,Œuvres (2006),Guy Debord,resonnances_mystiques,1,8.7
448,L'Imposture économique,Steve Keen,resonnances_mystiques,1,8.6
545,La Cité de Dieu (426),Saint Augustin,la_gnose,1,8.6
744,La voie du coeur,Arnaud Desjardins,097_tradition_primordiale,1,8.6
1288,Rubai'yat,Djalâl Al-Dîn Rûmi,developpement_personnel,1,8.6
1290,Récits d'un pèlerin russe (1865),,resonnances_mystiques,1,8.6
1483,Œuvres,François d'Assise,resonnances_mystiques,1,8.6
25,Anthologie du chamanisme,"Francis Huxley, Jeremy Narby",etats_de_conscience,1,8.5
155,Dans la lumière et les ombres,Jean-Claude Ameisen,resonnances_mystiques,1,8.5
189,Dernières nouvelles de Sapiens (2018),"Silvana Condemi, François Savatier",resonnances_mystiques,1,8.5
300,Gardiennes de la lune,,etats_de_conscience,1,8.5
513,L'Épopée de Gilgamesh,,sophia_perennis,1,8.5
625,La Peste brune (1933),Daniel Guérin,resonnances_mystiques,1,8.5
639,La Religion de l'amour,Djalâl Al-Dîn Rûmi,la_gnose,1,8.5
769,Le Château intérieur (1577),Thérèse d'Avila,sophia_perennis,1,8.5
800,Le Grand Roman de la physique quantique (2008),Manjit Kumar,resonnances_mystiques,1,8.5
836,Le Miroir de l'âme,Georg Christoph Lichtenberg,resonnances_mystiques,1,8.5
1029,Les Structures du quotidien (1979),Fernand Braudel,resonnances_mystiques,1,8.5
1067,Les Épîtres de Jean,Jean de Patmos,097_tradition_primordiale,1,8.5
1141,Métamorphoses du travail (1988),André Gorz,resonnances_mystiques,1,8.5
1326,Somme théologique (1273),Thomas d'Aquin,resonnances_mystiques,1,8.5
73,Black Metal: Evolution of the Cult (2013),Dayal Patterson,resonnances_mystiques,1,8.4
113,Commentaires sur la vie (1956),Jiddu Krishnamurti,developpement_personnel,1,8.4
207,Didgeridoo,Frédéric Marais,etats_de_conscience,1,8.4
247,Ennéades V (301),Plotin,sophia_perennis,1,8.4
334,Histoire politique du monde héllenistique (1966),Edouard Will,resonnances_mystiques,1,8.4
455,L'Invitation (1988),Claude Simon,resonnances_mystiques,1,8.4
494,L'idéologie et l'utopie (1986),Paul Ricœur,resonnances_mystiques,1,8.4
501,L'univers quantique - Tout ce qui peut arriver arrive...,"jeff forshaw, Professor Brian Cox",resonnances_mystiques,1,8.4
566,La Double Absence (1999),Abdelmalek Sayad,resonnances_mystiques,1,8.4
648,La Sagesse du désert,Thomas Merton,resonnances_mystiques,1,8.4
660,La Société ingouvernable (2018),Grégoire Chamayou,resonnances_mystiques,1,8.4
778,Le Coran,Jacques Berque,developpement_personnel,1,8.4
964,Le traité du vide parfait,Lie-Tseu,la_gnose,1,8.4
1168,Oeuvres poétiques complètes (1866),Paul Verlaine,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,8.4
1178,Par-delà le visible,Carlo Rovelli,resonnances_mystiques,1,8.4
1366,The Sonnets (1609),William Shakespeare,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,8.4
1411,Une histoire de tout ou presque,Bill Bryson,resonnances_mystiques,1,8.4
1471,Éloge de la plante (2004),Francis Hallé,resonnances_mystiques,1,8.4
81,Caliban et la sorcière (2004),Silvia Federici,etats_de_conscience,1,8.3
275,Exercices spirituels et philosophie antique (1981),Pierre Hadot,resonnances_mystiques,1,8.3
325,Histoire de la guerre du Péloponnèse,Thucydide,resonnances_mystiques,1,8.3
364,Introduction à l'étude de saint Augustin (1992),Étienne Gilson,developpement_personnel,1,8.3
397,L'Amour des commencements,Jean-Bertrand Pontalis,resonnances_mystiques,1,8.3
413,L'Egypte intérieure ou les dix plaies de l'âme,Annick de Souzenelle,097_tradition_primordiale,1,8.3
418,L'Enfer / Inferno (1314),Dante Alighieri,sophia_perennis,1,8.3
443,L'Illumination initiatique (1990),Jean Vaquié,la_gnose,1,8.3
542,La Bible Tob,Collectif,developpement_personnel,1,8.3
581,La France contre les robots (1946),Georges Bernanos,resonnances_mystiques,1,8.3
596,La Logique du vivant (1970),François Jacob,resonnances_mystiques,1,8.3
599,La Magie du Cosmos,Brian Greene,resonnances_mystiques,1,8.3
605,La Montée de l'insignifiance,Cornelius Castoriadis,resonnances_mystiques,1,8.3
651,La Sculpture du vivant (1999),Jean-Claude Ameisen,resonnances_mystiques,1,8.3
736,La vie algorithmique,Eric Sadin,resonnances_mystiques,1,8.3
737,La vie est belle (1989),Stephen Jay Gould,resonnances_mystiques,1,8.3
770,Le Code de la conscience,Stanislas Dehaene,etats_de_conscience,1,8.3
828,Le Mahabharata (2001),Jean-Claude Carrière,resonnances_mystiques,1,8.3
866,Le Prophète Muhammad,Martin Lings,097_tradition_primordiale,1,8.3
1048,Les huit circuits de conscience,Laurent Huguelit,etats_de_conscience,1,8.3
1234,Principes du gouvernement représentatif (1995),Bernard Manin,resonnances_mystiques,1,8.3
1431,Voyage aux confins de l'esprit (2019),Michael Pollan,etats_de_conscience,1,8.3
62,Aux étudiants (1970),Jiddu Krishnamurti,developpement_personnel,1,8.2
130,Conversations avec Dieu - 2 (1997),Neale Donald Walsch,voir,1,8.2
169,De l'éducation (1976),Jiddu Krishnamurti,developpement_personnel,1,8.2
195,Destruction massive,Jean Ziegler,resonnances_mystiques,1,8.2
245,Ennéades III (301),Plotin,sophia_perennis,1,8.2
292,Fragments d'un discours amoureux (1977),Roland Barthes,resonnances_mystiques,1,8.2
342,Hymnes,Homère,sophia_perennis,1,8.2
368,J'ai choisi la liberté ! (1946),Viktor Andreïevitch Kravchenko,resonnances_mystiques,1,8.2
391,L'Absurde et la Grâce (2001),Jean-Yves Leloup,097_tradition_primordiale,1,8.2
458,L'Obsolescence de l'homme (1956),Günther Anders,resonnances_mystiques,1,8.2
564,La Divine Comédie (1321),Dante Alighieri,la_gnose,1,8.2
602,La Misère du monde (1993),Pierre Bourdieu,resonnances_mystiques,1,8.2
646,La Révolution du silence (1970),Jiddu Krishnamurti,developpement_personnel,1,8.2
720,La peur des barbares,Tzvetan Todorov,resonnances_mystiques,1,8.2
759,"Le Capital, livre I (1867)",Karl Marx,resonnances_mystiques,1,8.2
822,Le Livre des visions et instructions (1298),Angèle de Foligno,resonnances_mystiques,1,8.2
880,Le Seigneur des anneaux - Intégrale (1955),J.R.R. Tolkien,voir,1,8.2
890,Le Système technicien (1977),Jacques Ellul,resonnances_mystiques,1,8.2
976,Les Aventures de la marchandise,Anselm Jappe,resonnances_mystiques,1,8.2
980,Les Chimères (1854),Gérard de Nerval,la_gnose,1,8.2
993,Les Fleurs du mal (1857),Charles Baudelaire,la_gnose,1,8.2
1056,Les plantes des dieux,"Albert Hofmann, Richard Evans Schultes",etats_de_conscience,1,8.2
1144,Métaphysique de la lumière (1492),Marsile Ficin,la_gnose,1,8.2
1174,Ou bien... ou bien... (1843),Søren Kierkegaard,resonnances_mystiques,1,8.2
1359,"Temps, travail et domination sociale (1993)",Moishe Postone,resonnances_mystiques,1,8.2
1397,Trous noirs et distorsions du temps,Kip Thorne,resonnances_mystiques,1,8.2
1401,Un bûcher sous la neige (2010),Susan Fletcher,etats_de_conscience,1,8.2
1424,Vies et doctrines des philosophes illustres,Diogène Laërce,resonnances_mystiques,1,8.2
1432,Voyage aux confins de la conscience (2016),"Sylvie Dethiollaz, Claude Charles Fourrier",etats_de_conscience,1,8.2
1436,Voyages extraordinaires,Lucien de Samosate,la_gnose,1,8.2
4,Abondance et liberté,Pierre Charbonnier,resonnances_mystiques,1,8.1
34,Aphorismes sur la sagesse dans la vie (1851),Arthur Schopenhauer,resonnances_mystiques,1,8.1
40,Approches de la méditation (2008),Arnaud Desjardins,097_tradition_primordiale,1,8.1
44,Asiles,Erving Goffman,resonnances_mystiques,1,8.1
209,"Dieu, la Mort et le Temps (1995)",Emmanuel Levinas,resonnances_mystiques,1,8.1
246,Ennéades IV (301),Plotin,sophia_perennis,1,8.1
250,Enterre mon cœur à Wounded Knee,Dee Brown,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,8.1
290,Forêt interdite,Mircea Eliade,097_tradition_primordiale,1,8.1
345,Idées directrices pour une phénoménologie (1913),Edmund Husserl,resonnances_mystiques,1,8.1
346,Il était sept fois la révolution (2007),Étienne Klein,resonnances_mystiques,1,8.1
347,Il était une fois le gène,Siddhartha Mukherjee,resonnances_mystiques,1,8.1
355,Influence et Manipulation,Robert B. Cialdini,resonnances_mystiques,1,8.1
358,Initiation à la physique quantique,Valerio Scarani,resonnances_mystiques,1,8.1
371,Jimi Hendrix - Vie et légende,"M.C. Shaar, Charles Shaar Murray",la_bibliotheque_ideale_4_selon_pacome_thiellement,1,8.1
393,L'Agression (1963),Konrad Lorenz,resonnances_mystiques,1,8.1
422,L'Entraide (1902),Pierre Kropotkine,resonnances_mystiques,1,8.1
450,L'Institution imaginaire de la société (1975),Cornelius Castoriadis,resonnances_mystiques,1,8.1
507,L'Âme et le Soi,Carl Gustav Jung,un_chemin_spirituel,1,8.1
514,L'Épopée de Gilgameš,,sophia_perennis,1,8.1
563,La Distinction (1979),Pierre Bourdieu,resonnances_mystiques,1,8.1
572,La Fabrication du consentement (1988),"Noam Chomsky, Edward S. Herman",resonnances_mystiques,1,8.1
598,La Légende des siècles (1883),Victor Hugo,la_gnose,1,8.1
620,La Pensée captive (1953),Czesław Miłosz,resonnances_mystiques,1,8.1
654,La Société autophage,Anselm Jappe,resonnances_mystiques,1,8.1
723,La préhistoire - Vérités et légendes,Eric Pincas,resonnances_mystiques,1,8.1
838,Le Monde comme volonté et comme représentation (1819),Arthur Schopenhauer,resonnances_mystiques,1,8.1
851,Le Nouvel Esprit du capitalisme,"Luc Boltanski, Eve Chiapello",resonnances_mystiques,1,8.1
902,Le Troisième Chimpanzé (1991),Jared Diamond,resonnances_mystiques,1,8.1
970,Les 13 mères originelles (1993),Jamie Sams,etats_de_conscience,1,8.1
1039,Les chemins de la sagesse,Arnaud Desjardins,097_tradition_primordiale,1,8.1
1156,Notre besoin de consolation est impossible à rassasier (1952),Stig Dagerman,resonnances_mystiques,1,8.1
1226,Poussières d'étoiles,Hubert Reeves,resonnances_mystiques,1,8.1
1228,Poésies complètes (1461),François Villon,resonnances_mystiques,1,8.1
1244,Préface à la transgression (1963),Michel Foucault,un_chemin_spirituel,1,8.1
1343,"Sur les épaules de Darwin, 1",Jean-Claude Ameisen,resonnances_mystiques,1,8.1
1344,Surveiller et Punir (1975),Michel Foucault,resonnances_mystiques,1,8.1
1391,Traités 1-6 (254),Plotin,developpement_personnel,1,8.1
1420,Vie de Plotin,Porphyre de Tyr,la_gnose,1,8.1
1423,Vie écrite par elle-même (1588),Thérèse d'Avila,resonnances_mystiques,1,8.1
1455,"Âge de pierre, âge d'abondance (1974)",Marshall Sahlins,resonnances_mystiques,1,8.1
2,2 ou 3 choses que l'on ne vous dit jamais sur le capitalisme,Ha-Joon Chang,resonnances_mystiques,1,8
48,Atlas de l'Anthropocène (2019),"François Gemenne, Aleksandar Rankovic",resonnances_mystiques,1,8
180,De la nature,Lucrèce,resonnances_mystiques,1,8
243,Ennéades I (301),Plotin,sophia_perennis,1,8
302,"Gestes et opinions du docteur Faustroll, 'pataphysicien (1911)",Alfred Jarry,resonnances_mystiques,1,8
332,Histoire et conscience de classe (1923),Georg Lukács,resonnances_mystiques,1,8
425,L'Esclavage moderne (1901),Léon Tolstoï,resonnances_mystiques,1,8
457,L'Islam et la raison,Averroès (Ibn Rushd),resonnances_mystiques,1,8
468,L'Univers à portée de main,Christophe Galfard,resonnances_mystiques,1,8
553,La Conquête du pain (1892),Pierre Kropotkine,resonnances_mystiques,1,8
555,La Consolation de philosophie (524),Boèce,developpement_personnel,1,8
595,La Logique de la découverte scientifique (1934),Karl Popper,resonnances_mystiques,1,8
614,La Nature des choses,Lucrèce,voir,1,8
624,La Pesanteur et la Grâce (1947),Simone Weil,la_gnose,1,8
630,La Pratique du zen,Taisen Deshimaru,la_gnose,1,8
655,La Société contre l'État (1974),Pierre Clastres,resonnances_mystiques,1,8
661,La Société punitive (1973),Michel Foucault,un_chemin_spirituel,1,8
665,La Stratégie du choc (2007),Naomi Klein,resonnances_mystiques,1,8
684,La Voie du samouraï,Thomas Cleary,resonnances_mystiques,1,8
721,La physique quantique (enfin) expliquée simplement (2014),Vincent Rollet,resonnances_mystiques,1,8
754,Le Bug humain (2019),Sébastien Bohler,resonnances_mystiques,1,8
755,Le Cantique des Oiseaux,"Farīd al-Dīn Aṭṭār, Leili Anvar",la_bibliotheque_ideale_4_selon_pacome_thiellement,1,8
768,Le Chrysanthème et le Sabre (1946),Ruth Benedict,resonnances_mystiques,1,8
787,Le Divān (1390),Hafez,developpement_personnel,1,8
805,Le Jardin de roses,Saâdi,developpement_personnel,1,8
832,Le Mariage du Ciel et de l'Enfer,William Blake,la_gnose,1,8
898,Le Théorème du parapluie (2019),Mickaël Launay,resonnances_mystiques,1,8
903,Le Vent (1957),Claude Simon,resonnances_mystiques,1,8
1009,Les Origines du totalitarisme (1951),Hannah Arendt,resonnances_mystiques,1,8
1018,Les Racines de la conscience,"Carl Gustav Jung, Michel Cazenave",etats_de_conscience,1,8
1025,Les Soirées de Saint-Pétersbourg (1821),Joseph de Maistre,la_gnose,1,8
1028,Les Stoïciens,"Cléanthe, Plutarque, Cicéron, Sénèque, Épictète, Marc-Aurèle, Diogène Laërce",resonnances_mystiques,1,8
1036,Les androïdes rêvent-ils de moutons électriques ? (1968),Philip K. Dick,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,8
1080,Logique du pire (1971),Clément Rosset,resonnances_mystiques,1,8
1092,L’Odyssée des gènes (2020),Évelyne Heyer,resonnances_mystiques,1,8
1236,Printemps silencieux (1962),Rachel Carson,resonnances_mystiques,1,8
1289,Râbi’a de feu et de larmes,"Rabi'a, Salah Stétié",developpement_personnel,1,8
1310,Se défendre (2017),Elsa Dorlin,resonnances_mystiques,1,8
1336,Stopper le monde,Carlos Castaneda,etats_de_conscience,1,8
1400,Un balcon en forêt (1958),Julien Gracq,resonnances_mystiques,1,8
1467,Éloge de l'ombre (1933),Junichirō Tanizaki,resonnances_mystiques,1,8
1470,Éloge de la fuite (1976),Henri Laborit,resonnances_mystiques,1,8
1485,Œuvres III,Walter Benjamin,resonnances_mystiques,1,8
53,Au fond de la couche gazeuse,Baudouin de Bodinat,resonnances_mystiques,1,7.9
78,Bulles (1998),Peter Sloterdijk,resonnances_mystiques,1,7.9
109,Comment tout peut s'effondrer,"Pablo Servigne, Raphaël Stevens",resonnances_mystiques,1,7.9
115,Comprendre le pouvoir - Premier mouvement,Noam Chomsky,resonnances_mystiques,1,7.9
118,Connaissance par les gouffres (1961),Henri Michaux,etats_de_conscience,1,7.9
127,Contre les hérésies,Irénée de Lyon,la_gnose,1,7.9
151,Célébration de la nature,John Muir,resonnances_mystiques,1,7.9
152,D'un discours qui ne serait pas du semblant (1971),Jacques Lacan,resonnances_mystiques,1,7.9
214,Discours de la servitude volontaire (1576),Étienne de La Boétie,resonnances_mystiques,1,7.9
221,Dogra Magra (1936),Kyûsaku Yumeno,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.9
229,Désir d'infini,Trinh Xuan Thuan,resonnances_mystiques,1,7.9
231,Désorceler,Jeanne Favret-Saada,etats_de_conscience,1,7.9
326,Histoire de la philosophie islamique (1964),Henry Corbin,097_tradition_primordiale,1,7.9
379,Jusqu'à quand ? (2008),Frédéric Lordon,resonnances_mystiques,1,7.9
381,Jésus contre Jésus,"Gérard Mordillat, Jérôme Prieur",resonnances_mystiques,1,7.9
400,L'Anus solaire (1931),Georges Bataille,resonnances_mystiques,1,7.9
416,L'Encre de la mélancolie (2012),Jean Starobinski,resonnances_mystiques,1,7.9
420,L'Enracinement (1949),Simone Weil,resonnances_mystiques,1,7.9
462,L'Ordre du discours (1971),Michel Foucault,un_chemin_spirituel,1,7.9
467,L'Univers chiffonné,Jean-Pierre Luminet,resonnances_mystiques,1,7.9
469,L'Univers élégant,Brian Greene,resonnances_mystiques,1,7.9
470,L'Usage du monde (1963),Nicolas Bouvier,resonnances_mystiques,1,7.9
523,L'Éventail du vivant,Stephen Jay Gould,resonnances_mystiques,1,7.9
531,L'énergetique psychique,Carl Gustav Jung,etats_de_conscience,1,7.9
560,La Diagonale de la joie (2021),Corinne Sombrun,etats_de_conscience,1,7.9
604,La Montagne magique (1924),Thomas Mann,voir,1,7.9
606,La Mort (1966),Vladimir Jankélévitch,resonnances_mystiques,1,7.9
619,La Partie et le Tout,"Werner Heisenberg, Paul Kessler",resonnances_mystiques,1,7.9
623,La Perception du changement (1911),Henri Bergson,un_chemin_spirituel,1,7.9
629,La Poétique de la rêverie (1960),Gaston Bachelard,resonnances_mystiques,1,7.9
659,La Société du mépris,Axel Honneth,resonnances_mystiques,1,7.9
688,La Volonté de savoir (1976),Michel Foucault,resonnances_mystiques,1,7.9
701,La gloire d'Hara-Kiri (2013),François Cavanna,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.9
715,La nuit remue (1935),Henri Michaux,resonnances_mystiques,1,7.9
748,La voie hérmetique,Françoise Bonardel,voir,1,7.9
756,Le Cantique des quantiques,"Sven Ortoli, Jean-Pierre Pharabod",resonnances_mystiques,1,7.9
762,Le Capitalisme expliqué à ma petite-fille (2018),Jean Ziegler,resonnances_mystiques,1,7.9
765,Le Chaos et l'Harmonie,Trinh Xuan Thuan,resonnances_mystiques,1,7.9
776,Le Contre-Ciel (1936),René Daumal,developpement_personnel,1,7.9
885,Le Serpent vert,Johann Wolfgang von Goethe,la_gnose,1,7.9
941,Le paysage cosmique,Léonard Susskind,resonnances_mystiques,1,7.9
995,Les Gnostiques,Jacques Lacarrière,developpement_personnel,1,7.9
1071,Lettres de non motivation,Julien Previeux,resonnances_mystiques,1,7.9
1129,Mère,Laurent Huguelit,etats_de_conscience,1,7.9
1176,Outsiders (1963),Howard S. Becker,resonnances_mystiques,1,7.9
1190,Pensées à moi-même (180),Marc-Aurèle,resonnances_mystiques,1,7.9
1197,Petite philocalie de la prière du coeur,Jean Gouillard,resonnances_mystiques,1,7.9
1212,Plupart du temps (1945),Pierre Reverdy,resonnances_mystiques,1,7.9
1257,Qu'est-ce que la philosophie antique ? (1995),Pierre Hadot,resonnances_mystiques,1,7.9
1261,Quand d'autres hommes peuplaient la terre,Jean-Jacques Hublin,resonnances_mystiques,1,7.9
1292,Réforme sociale ou révolution ? (1898),Rosa Luxemburg,resonnances_mystiques,1,7.9
1302,Sahih Muslim,Imam Muslim,developpement_personnel,1,7.9
1328,Sorcières (2018),Mona Chollet,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.9
1332,Spectres de Marx (1993),Jacques Derrida,resonnances_mystiques,1,7.9
1348,Synchronicité et Paracelsica,Carl Gustav Jung,etats_de_conscience,1,7.9
1374,Totalité et Infini (1961),Emmanuel Levinas,resonnances_mystiques,1,7.9
1398,Ubik (1969),Philip K. Dick,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,7.9
1412,Une histoire du monde sans sortir de chez moi,Bill Bryson,resonnances_mystiques,1,7.9
1474,Émanciper le travail (2014),Bernard Friot,resonnances_mystiques,1,7.9
51,Au commencement étaient les dieux (2004),Jean Bottéro,developpement_personnel,1,7.8
90,Ceux qui restent,Benoît Coquard,resonnances_mystiques,1,7.8
205,Dictionnaire des Religions,"Mircea Eliade, Ioan P. Couliano",097_tradition_primordiale,1,7.8
235,Effondrement (2005),Jared Diamond,resonnances_mystiques,1,7.8
248,Ennéades VI (1ère partie) (301),Plotin,sophia_perennis,1,7.8
255,Errance (2000),Raymond Depardon,resonnances_mystiques,1,7.8
301,Gazels et autres poèmes,Alisher Navoï,developpement_personnel,1,7.8
304,Gnose et gnostiques des origines à nos jours,Roland Hureaux,la_gnose,1,7.8
331,Histoire des Cathares,Michel Roquebert,la_gnose,1,7.8
351,Images et symboles (1952),Mircea Eliade,097_tradition_primordiale,1,7.8
409,L'Autre moi-même,Antonio R. Damasio,etats_de_conscience,1,7.8
438,L'Homme qui plantait des arbres (1954),Jean Giono,voir,1,7.8
464,L'Unique et sa Propriété (1844),Max Stirner,resonnances_mystiques,1,7.8
486,L'esprit du temps (1962),Edgar Morin,resonnances_mystiques,1,7.8
508,L'Âme insurgée,Armel Guerne,resonnances_mystiques,1,7.8
524,L'Évolution créatrice (1907),Henri Bergson,resonnances_mystiques,1,7.8
570,La Démondialisation (2011),Jacques Sapir,resonnances_mystiques,1,7.8
588,La Grande Transformation (1944),Karl Polanyi,resonnances_mystiques,1,7.8
597,La Lutte pour la reconnaissance (1992),Axel Honneth,resonnances_mystiques,1,7.8
621,La Pensée et le Mouvant (1934),Henri Bergson,un_chemin_spirituel,1,7.8
622,La Pensée sauvage (1962),Claude Lévi-Strauss,resonnances_mystiques,1,7.8
663,La Sorcière au village : XVe-XVIIIe siècle,Robert Muchembled,etats_de_conscience,1,7.8
671,La Théogonie · Les Travaux et les jours,Hésiode,developpement_personnel,1,7.8
692,La dictature de l'ego (2018),Mathias Roux,resonnances_mystiques,1,7.8
700,"La galère, jeunes en survie (2008)",François Dubet,resonnances_mystiques,1,7.8
710,La nature de la physique,Richard Feynman,resonnances_mystiques,1,7.8
773,Le Concept de l'angoisse (1844),Søren Kierkegaard,resonnances_mystiques,1,7.8
781,Le Cosmos et le Lotus,Trinh Xuan Thuan,voir,1,7.8
786,Le Divin Marché,Dany-Robert Dufour,resonnances_mystiques,1,7.8
795,Le Fondement de la morale (1840),Arthur Schopenhauer,resonnances_mystiques,1,7.8
815,Le Livre de la Théologie mystique,Pseudo-Denys l'Aréopagite,sophia_perennis,1,7.8
837,Le Miroir des âmes simples et anéanties (1295),Marguerite Porete,resonnances_mystiques,1,7.8
840,Le Mont Analogue (1952),René Daumal,developpement_personnel,1,7.8
862,Le Principe de raison (1957),Martin Heidegger,resonnances_mystiques,1,7.8
872,Le Réel - Traité de l'idiotie (1977),Clément Rosset,resonnances_mystiques,1,7.8
