,Titres,Auteur(s),Liste,recensé,Notes
1235,Principes et méthodes de l'art sacré,Titus Burckhardt,"097_tradition_primordiale, le_traditionalisme, sophia_perennis",3,7.8
1377,Tractatus logico-philosophicus (1921),Ludwig Wittgenstein,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh, resonnances_mystiques",3,7.8
164,De l'autre côté du miroir (1871),Lewis Carroll,"developpement_personnel, la_bibliotheque_ideale_4_selon_pacome_thiellement, livres_que_j_ai_aimes_osho_rajneesh",3,7.7
611,La Métaphysique orientale (1939),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,7.7
1429,Voir (1971),Carlos Castaneda,"la_bibliotheque_ideale_4_selon_pacome_thiellement, un_chemin_spirituel, voir",3,7.7
263,Essai sur les données immédiates de la conscience (1889),Henri Bergson,"la_gnose, resonnances_mystiques, un_chemin_spirituel",3,7.6
359,"Initiation, rites, sociétés secrètes",Mircea Eliade,"developpement_personnel, la_gnose, le_traditionalisme",3,7.6
845,Le Mythe de l'éternel retour (1949),Mircea Eliade,"097_tradition_primordiale, la_gnose, sophia_perennis",3,7.5
1296,Révolte contre le monde moderne,Julius Evola,"097_tradition_primordiale, le_traditionalisme, sophia_perennis",3,7.5
643,La République,Platon,"la_gnose, sophia_perennis",3,7.4
1481,Être et Temps (1927),Martin Heidegger,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh, resonnances_mystiques",3,7.3
763,Le Chamanisme (1950),Mircea Eliade,"097_tradition_primordiale, etats_de_conscience, voir",3,7.2
1304,Saint Bernard (1929),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,7.2
45,Aspects du mythe,Mircea Eliade,"developpement_personnel, le_traditionalisme, resonnances_mystiques",3,7.1
322,Hindouisme et bouddhisme,Ananda Kentish Coomaraswamy,"097_tradition_primordiale, developpement_personnel, le_traditionalisme",3,6.8
541,La Bible,,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh, sophia_perennis",3,6.7
271,Etudes sur la franc-maçonnerie et le compagnonnage (1965),René Guénon,"097_tradition_primordiale, la_gnose, le_traditionalisme",3,6.5
1017,Les Quatre Accords toltèques,Don Miguel Ruiz,"developpement_personnel, etats_de_conscience, voir",3,6.5
907,Le Yoga tantrique (1949),"Julius Evola, Gabrielle Robinet","097_tradition_primordiale, la_gnose, le_traditionalisme",3,5.7
